assetsType,dbType,name,nickname,uri,personalSign,businessSign
字段,,PAD_DiagType,诊断类型,/PA_Diagnose,,健康医疗数据规范-医疗应用数据-诊断信息-疾病类型
数据表,,MOH_Document,卫生部共享文档索引表,,健康医疗数据规范-个人属性数据-个人身份信息-身份证;健康医疗数据规范-个人属性数据-人口统计信息-姓名,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据;健康医疗数据规范-医疗应用数据-机构信息
数据表,,CT_MouDocType,共享文档类型字典表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
数据表,,CT_IdentifierType,身份证件类型字典表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
数据表,,CT_OrderAdminStatus,医嘱执行状态字典表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,CTARCIM_ChildCategory,医嘱子类代码,/CT_ARCItmMast,,健康医疗数据规范-医疗应用数据-医嘱信息
数据表,,CT_MachineParameters,检验仪器字典表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,LISIR_Count,检测时间,/LIS_ItemResult,,健康医疗数据规范-医疗应用数据-检查检验报告-检查时间
数据表,,CT_TransStatus,转移状态字典表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,LISIR_ItemCode,化验项目,/LIS_ItemResult,,健康医疗数据规范-医疗应用数据-检查检验报告-检查项目
数据表,,CT_Occupation,职业字典表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
数据表,,CT_Diagnose,诊断字典表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
数据表,,CT_Room,病区房间字典表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑;健康医疗数据规范-卫生资源数据-医院基本数据
数据表,,CT_DiagnoseType,诊断类型字典表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,CTCP_SexCode,性别代码,/CT_CareProv,健康医疗数据规范-个人属性数据-医护人员信息-性别,
数据表,,CT_Category,医嘱大类字典表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,MOHD_OrganName,医疗机构名称,/MOH_Document,,健康医疗数据规范-医疗应用数据-机构信息
数据表,,OE_OrdExec,执行记录表,,,健康医疗数据规范-医疗应用数据-用药信息-药品用量;健康医疗数据规范-医疗应用数据-医嘱信息
数据表,,CT_Marital,婚姻状况字典表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
数据表,,Rel_RisReportID,检查报告号关联表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据;健康医疗数据规范-卫生资源数据-医院基本数据
数据表,,CT_ARCItmMast,医嘱项目字典表,,,健康医疗数据规范-医疗应用数据-医嘱信息
字段,,PAADMT_DocCode,医生代码,/PA_AdmTransaction,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,CT_Duration,疗程字典表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
数据表,,CT_OrdStatusChReason,执行记录状态变化原因字典表,,,健康医疗数据规范-医疗应用数据-病程记录
字段,,LISSR_OrderItemID,医嘱号,/LIS_SpecimenReport,,健康医疗数据规范-医疗应用数据-医嘱信息
字段,,PAPAT_DE_Name,患者姓名,/PA_Patient,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
数据表,,CT_Organization,组织机构字典表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,CTTT_Desc,名称,/CT_TransType,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
数据表,,PA_Diagnose,患者诊断信息表,,,健康医疗数据规范-医疗应用数据-诊断信息-诊断时间;健康医疗数据规范-医疗应用数据-诊断信息-疾病类型;健康医疗数据规范-医疗应用数据-诊断信息-疾病编码
字段,,RISO_BACode,检查部位代码,/RIS_Order,,健康医疗数据规范-医疗应用数据-检查检验报告-检查部位
字段,,RISO_OrderItemID,医嘱号,/RIS_Order,,健康医疗数据规范-医疗应用数据-医嘱信息
数据表,,CT_Ward,病区字典表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
数据表,,CT_Bed,床位字典表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,PAD_DiagTime,诊断时间,/PA_Diagnose,,健康医疗数据规范-医疗应用数据-诊断信息-诊断时间
字段,,CTD_HosCode,医院编号,/CT_Dept,,健康医疗数据规范-卫生资源数据-医院基本数据
字段,,PAPAT_DE_DeceasedDat,死亡日期,/PA_Patient,,健康医疗数据规范-公共卫生数据-出生死亡数据
数据表,,RIS_Report,检查报告表,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-医疗应用数据-检查检验报告-检查项目
数据表,,CT_ResultStatus,医嘱结果状态字典表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据;健康医疗数据规范-医疗应用数据-医嘱信息
字段,,PAADM_StartDate,入院日期,/PA_Adm,,健康医疗数据规范-医疗应用数据-入院记录
数据表,,CT_Relation,患者与联系人关系字典表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
数据表,,CT_CareProv,医护人员字典表,,健康医疗数据规范-个人属性数据-医护人员信息-医护职称;健康医疗数据规范-个人属性数据-医护人员信息-医护姓名;健康医疗数据规范-个人属性数据-医护人员信息-所在科室;健康医疗数据规范-个人属性数据-医护人员信息-性别;健康医疗数据规范-个人属性数据-医护人员信息-身份证号,
数据表,,PA_AdmTransaction,患者入出转记录表,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-医疗应用数据-转诊（院）记录
数据表,,Rel_Order,医嘱关联表,,,健康医疗数据规范-医疗应用数据-医嘱信息
数据表,,CT_Province,"省 自治区、直辖市) 代码字典表",,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
数据表,,CT_AddressType,地址类型字典表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
数据表,,OE_OrdExecStatus,执行记录状态变化表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
数据表,,CT_LisItem,检验项目字典表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
数据表,,CT_Freq,频次字典表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,PAALL_PatientID,病人ID,/PA_Allergy,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
数据表,,CT_BedType,床位类型字典表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
数据表,,CT_PriorityAdd,医嘱附加类型字典表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
数据表,,CT_Antibiotics,抗生素字典表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,PAADM_AttendDocCode,接诊医生,/PA_Adm,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,HOSDC_Manufacturer,院内子系统(厂商)索引表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
数据表,,CT_DoseUnit,剂量单位字典表,,,
字段,,RREID_HosCode,医院编号,/Rel_RisExamID,,健康医疗数据规范-卫生资源数据-医院基本数据
字段,,LISRR_TestTime,检测时间,/LIS_ReportResult,,健康医疗数据规范-医疗应用数据-检查检验报告-检查时间
字段,,CTR_HosCode,医院编号,/CT_Room,,健康医疗数据规范-卫生资源数据-医院基本数据
数据表,,Rel_LisReportID,检验报告号关联表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,CTCP_Name,姓名,/CT_CareProv,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,OEORE_DoseUnitCode,剂量单位,/OE_OrdExec,,健康医疗数据规范-医疗应用数据-用药信息-药品用量
字段,,PAPAT_DE_DeceasedTime,死亡时间,/PA_Patient,,健康医疗数据规范-公共卫生数据-出生死亡数据
数据表,,CT_OrderStatus,医嘱状态字典表,,,健康医疗数据规范-医疗应用数据-医嘱信息
数据表,,PatientConfig,PatientConfig,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
数据表,,CT_Sex,性别字典表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,MOHD_IdentityCardID,身份证号,/MOH_Document,健康医疗数据规范-个人属性数据-个人身份信息-身份证,
字段,,CTD_ParentDeptCode,上级科室代码,/CT_Dept,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
数据表,,CT_HouDocClassification,院内文档分类字典表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
数据表,,PA_Adm,患者就诊表,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息;健康医疗数据规范-医疗应用数据-出院小结;健康医疗数据规范-医疗应用数据-入院记录
字段,,OEORS_OrderltemID,"医嘱明细 ID",/OE_OrdSpecimen,,健康医疗数据规范-医疗应用数据-医嘱信息
数据表,,CT_AllergyCategory,过敏类别字典表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
数据表,,CT_DischCondit,出院情况代码表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
数据表,,Rel_OrderSpecimen,样本号关联表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑;健康医疗数据规范-卫生资源数据-医院基本数据
字段,,OEORE_OrderItemID,医嘱明细ID,/OE_OrdExec,,健康医疗数据规范-医疗应用数据-医嘱信息
数据表,,Rel_Patient,患者主索引对应表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
数据表,,LIS_SpecimenReport,标本报告关联表,,,健康医疗数据规范-医疗应用数据-医嘱信息
数据表,,Rel_Adm,就诊号对应表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,PAPAT_DE_NationCode,民族代码,/PA_Patient,健康医疗数据规范-个人属性数据-人口统计信息-民族,
数据表,,CT_EncounterStatus,就诊状态字典表床位字典表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,PAADMT_TypeCode,转移类型,/PA_AdmTransaction,,健康医疗数据规范-医疗应用数据-转诊（院）记录
字段,,OEORI_DoseQty,单次剂量,/OE_OrdItem,,健康医疗数据规范-医疗应用数据-用药信息-药品用量
数据表,,CT_ChildCategory,医嘱子类字典表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
数据表,,CT_Country,国籍代码字典表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,"REORD OrderItemID","医嘱明细 ID",/Rel_Order,,健康医疗数据规范-医疗应用数据-医嘱信息
字段,,PAADM_CurDeptCode,当前科室代码,/PA_Adm,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
数据表,,CT_Priority,医嘱类型字典表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据;健康医疗数据规范-医疗应用数据-医嘱信息
数据表,,OE_OrdItem,医嘱记录子表,,,健康医疗数据规范-医疗应用数据-用药信息-医嘱信息;健康医疗数据规范-医疗应用数据-用药信息-药品用量
数据表,,CT_TitleOfTech,职称字典表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
数据表,,CT_AllergySeverity,过敏严重级别字典表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
数据表,,LIS_ItemResult,检验项目结果表,,,健康医疗数据规范-医疗应用数据-检查检验报告-检查时间;健康医疗数据规范-医疗应用数据-检查检验报告-检查项目
字段,,PAPAT_DE_Dob,出生日期,/PA_Patient,健康医疗数据规范-个人属性数据-人口统计信息-出生日期,
数据表,,OE_OrdResult,医嘱结果状态记录表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据;健康医疗数据规范-医疗应用数据-医嘱信息
数据表,,PA_Address,患者地址表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,ROS_HosCode,医院编号,/Rel_OrderSpecimen,,健康医疗数据规范-卫生资源数据-医院基本数据
字段,,PAADM_DisStatusCode,出院情况代码,/PA_Adm,,健康医疗数据规范-医疗应用数据-出院小结
数据表,,Rel_RisExamID,检查号关联表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据;健康医疗数据规范-卫生资源数据-医院基本数据
字段,,CTCP_IDCardNO,身份证号,/CT_CareProv,健康医疗数据规范-个人属性数据-医护人员信息-身份证号,
数据表,,PA_Allergy,患者过敏记录表,,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,健康医疗数据规范-医疗应用数据-病程记录;健康医疗数据规范-医疗应用数据-诊断信息-疾病类型
字段,,OEORE_ExecUserCode,医嘱执行人代码,/OE_OrdExec,,健康医疗数据规范-医疗应用数据-医嘱信息
字段,,PAALL_CategoryCode,过敏类别,/PA_Allergy,,健康医疗数据规范-医疗应用数据-诊断信息-疾病类型
数据表,,CT_Job,职务字典表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
数据表,,CT_Instr,用药途径字典表,,,
字段,,PAADM_AdmDeptCode,入院科室代码,/PA_Adm,,健康医疗数据规范-医疗应用数据-入院记录
数据表,,CT_County,"县 (区) 代码字典表",,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
数据表,,HOS_Document,院内文档索引表,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据;健康医疗数据规范-医疗应用数据-机构信息
字段,,OEORD_OrderID,"医嘱 ID",/OE_Order,,健康医疗数据规范-医疗应用数据-医嘱信息
数据表,,OE_OrdSpecimen,医嘱样本表,,,健康医疗数据规范-医疗应用数据-医嘱信息
字段,,PAADM_AdmitReason,入院原因,/PA_Adm,,健康医疗数据规范-医疗应用数据-入院记录
数据表,,CT_Codesystem,代码表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
数据表,,CT_City,市(地区、州)代码字典表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
数据表,,CT_Specimen,样本名称字典表,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
