数据表,,monitor_app_conf,,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,deptname,科室名称,o_order_item,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
字段,,deptid,科室ID,m_fast_reply,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
数据表,,sv_sampleanswer,,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,deptcode,科室编码,s_signin,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
字段,,applyname,,mc_express_order,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,username,患者姓名,me_medexam_water,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,sex,性别。0表示未定义，1表示男性，2表示女性,qy_member_copy1,健康医疗数据规范-个人属性数据-人口统计信息-性别,
字段,,operatorname,,sys_login_info,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,operatorname,操作人名称,b_article,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,yy_unlock,,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,operatorname,操作人名称,b_cardbag_copy1,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,addressee,收件人,mc_consignee_address,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,operatorname,,cons_collect_doctor_subject,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,applyidcard,申请人身份证,mc_express_order,健康医疗数据规范-个人属性数据-个人身份信息-身份证,
字段,,telephone,,sv_samplephone,健康医疗数据规范-个人属性数据-个人通讯信息-个人电话号码,
字段,,actualreceipts,实际收款,tb_transaction_record,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,membername,患者姓名,svn_visit_plan_member,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
数据表,,svn_subject_rule,问卷规则,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,deptname,科室名称,q_queueinfo,健康医疗数据规范-个人属性数据-医护人员信息-所在科室,
数据表,,net_logistic_evaluation,互联网物流配送星级评价表,,,
数据表,,b_dept,,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
字段,,birthdate,出生日期,o_order_member,健康医疗数据规范-个人属性数据-人口统计信息-出生日期,
字段,,doctorname,咨询医生姓名,svn_visit_temp,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,memberid,掌医就诊人ID,m_sms_record,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
字段,,operatorname,操作人名称,ps_profit_share_return,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,operatorname,操作人名称,b_last_member,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,presc_prescription_template,医生开处方使用的模板表,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息;健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,doctor,接诊医生,b_behos_triageflow,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,presc_order_transfer,处方流转方式,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,operatorname,,ai_tencent_predx_report,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,b_patient_old,,,健康医疗数据规范-个人属性数据-个人身份信息-社保卡;健康医疗数据规范-个人属性数据-个人身份信息-住院号;健康医疗数据规范-个人属性数据-人口统计信息-姓名,
数据表,,mc_copy_question,常用问题,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,deptcode,科室代码,nw_member_ex,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
字段,,deptname,指定科室名称,b_failure_report,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
字段,,operatorname,操作人姓名,presc_associate,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,b_last_member,最后操作人,,健康医疗数据规范-个人属性数据-个人身份信息-就诊卡号;健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,guardiancertnum,监护人证件号码,b_member,,
字段,,operatorname,操作人姓名,m_msg_subscribe,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,o_bizorder,订单-业务状态记录表,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,operatorname,操作人名称,yy_lock,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,p_his_bill,,,健康医疗数据规范-个人属性数据-个人身份信息-住院号,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,pttel,患者联系方式,r_medical_appoint_water,健康医疗数据规范-个人属性数据-个人通讯信息-个人电话号码,
字段,,hospital_no,住院号,svn_sample,健康医疗数据规范-个人属性数据-个人身份信息-住院号,
字段,,outrefundorderid,外部退款订单号,o_refundorder_copy1,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易记录
字段,,operatorname,,ev_message_result,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,tb_copy_question,常用问题,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,operatorname,,p_fundauth_freeze_to_pay,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,b_member_service_record,用户服务记录表,,健康医疗数据规范-个人属性数据-个人身份信息-患者ID;健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,memberid,用户ID,o_selfrefund_record,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
数据表,,sys_dict_data,字典数据表,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,nursename,护士姓名,b_behos_triageflow,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,qrtz_calendars,,,,
数据表,,m_sms_type,短信变量配置表,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,operatorname,操作人名称,b_doctor_ex,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,cno,卡号,yy_water,,
字段,,birthday,出生日期,yy_water,健康医疗数据规范-个人属性数据-人口统计信息-出生日期,
字段,,operatorname,,cons_visit_plan,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,idcardno,身份证号码,yy_nat_water,健康医疗数据规范-个人属性数据-个人身份信息-身份证,
数据表,,svn_sample_answer,,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,password,密码,sys_user,健康医疗数据规范-个人属性数据-个人通讯信息-账号及关联信息,
字段,,operatorname,操作人姓名,cons_consult_yywater,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,operatorname,发起人姓名,qy_activity,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,operatorname,操作人名称,qr_guide_2021,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,health_education_article_operation,文章点赞分享操作表,,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,contactname,联系人,nw_nursing_water,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,operatorname,,base_dept_ex,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,price,金额（分）,o_order_sub,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,membername,姓名,nw_member_ex,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,hospitalno,住院号,b_user_escort,健康医疗数据规范-个人属性数据-个人身份信息-住院号,
字段,,birthday,生日,tb_mcopy_user,健康医疗数据规范-个人属性数据-人口统计信息-出生日期,
数据表,,p_bill_channel_rf,对账渠道报表,,,健康医疗数据规范-卫生资源数据-医院运营数据-财务数据
数据表,,sys_user,系统用户,,健康医疗数据规范-个人属性数据-个人通讯信息-个人电话号码;健康医疗数据规范-个人属性数据-人口统计信息-性别;健康医疗数据规范-个人属性数据-个人通讯信息-账号及关联信息;健康医疗数据规范-个人属性数据-个人通讯信息-邮箱;健康医疗数据规范-个人属性数据-个人身份信息-身份证;健康医疗数据规范-个人属性数据-人口统计信息-姓名,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
字段,,operatorname,操作人名称,nw_nursing_worker_label,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,qy_meeting_sign,,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,price,支付金额,o_payorder,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,handledoctornames,"处理医生名称 多个逗号分隔",b_failure_report_dispatch,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,mc_apply_no,申请单,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,deptid,部门IDS,qy_member,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
数据表,,m_smstemp,短信模板表,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,operatorname,操作人名字,m_msgqueue_record,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,mobile,手机号,sys_user,健康医疗数据规范-个人属性数据-个人通讯信息-个人电话号码,
字段,,deptcode,,presc_prescription_template,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
字段,,deptname,科室名称,yy_nat_water,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
字段,,memberid,就诊人ID,q_queueinfo,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
数据表,,b_collect_article,文章收藏表,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,selfpayamount,个人支付额(分),pb_fjmi_out_bill,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,operatorname,,yy_wait_rule,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名;健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,doctorname,医生名称,yy_number,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,outdeptcode,出院科室代码,tb_mcopy_case,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
字段,,address,地址,o_order_member,健康医疗数据规范-个人属性数据-人口统计信息-住址,
数据表,,p_bill_date_stats,,,,健康医疗数据规范-卫生资源数据-医院运营数据-财务数据;健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,membername,成员名称,qy_member,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,tb_consignee_address,收件人信息表,,健康医疗数据规范-个人属性数据-个人通讯信息-个人电话号码;健康医疗数据规范-个人属性数据-人口统计信息-住址;健康医疗数据规范-个人属性数据-医护人员信息-医护姓名;健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,merchprice,商户应收/应退金额（分）,p_bill_check,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
数据表,,mc_setting,基本设置,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,deptid,咨询科室代码,svn_visit_temp,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
数据表,,p_merchant_order_check_copy1,,,,健康医疗数据规范-卫生资源数据-医院运营数据-财务数据
数据表,,pl_bind_plateno,,,健康医疗数据规范-个人属性数据-个人身份信息-就诊卡号;健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,operatorname,,svn_visit_plan_member,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,pb_bill_check,,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-财务数据
字段,,gecode,患者性别,r_online_med,健康医疗数据规范-个人属性数据-人口统计信息-性别,
字段,,name,姓名,tb_mcopy_user,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,memberid,就诊人ID,yy_wait_list,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
字段,,operator_name,操作人名称,svn_sample,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,lisorderid,lis系统报告单号,qy_warn_value,,
字段,,cardno,证件号,presc_order,健康医疗数据规范-个人属性数据-个人身份信息-身份证,
字段,,price,金额,ps_profit_share,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,operatorname,,sv_questionflow,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,operatorname,,base_doctor_account,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,doctortitle,医生职称,yy_number,健康医疗数据规范-个人属性数据-医护人员信息-医护职称,
数据表,,mc_mcopy_case,,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-医疗应用数据-病程记录;健康医疗数据规范-卫生资源数据-医院运营数据-科室信息;健康医疗数据规范-医疗应用数据-手术记录-手术名称;健康医疗数据规范-医疗应用数据-手术记录-手术编码
字段,,operationids,手术id,mc_mcopy_case,,健康医疗数据规范-医疗应用数据-手术记录-手术编码
字段,,push_dept,面向科室,svn_schedule_task,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
数据表,,mc_order_case,,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
数据表,,b_behos_triage_extend,来院登记分诊扩展表,,,健康医疗数据规范-医疗应用数据-入院记录
字段,,operatorname,,arb_check_arbitration,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,c_activity,活动管理表,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,deptid,咨询科室代码,cons_visit_temp,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
字段,,name,患者姓名,qy_warn_value,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,operatorname,操作人名称,b_patient_old,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,dosageform,剂型,p_druggist_drugs_catalog_manage,,健康医疗数据规范-医疗应用数据-用药信息-药品名称
字段,,pricename,费用名称,o_order_sub,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易记录
字段,,operatorname,,sys_twofactors_login,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,yy_rule,,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,totalprice,订单总金额,o_refundorder_copy1,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
数据表,,p_config,支付配置,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
数据表,,pb_bill_check_dealrecord,,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,p_druggist_drugs_catalog_manage,药商可售药品目录管理,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-供应商数据;健康医疗数据规范-医疗应用数据-用药信息-药品名称
数据表,,sequence,,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,transtypename,交易类型名称,pb_pos_bill,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易记录
数据表,,b_member_collect,用户收藏表,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,hismemberid,患者id,b_patient,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
字段,,refundprice,退款金额,o_selfrefund_record_order,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,refundprice,退款金额(实退),p_2bill_check,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
数据表,,qy_msg_push,,,健康医疗数据规范-个人属性数据-个人身份信息-患者ID;健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
数据表,,cons_doctor_report,,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,operatorname,操作人名称,diy_medical_team,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,name,科室名/手术名,tb_price_manage,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息;健康医疗数据规范-医疗应用数据-手术记录-手术名称
字段,,paidemoney,已到金额（分）,p_channel_bank_check,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
数据表,,ev_message,,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,operatorname,操作人姓名,w_wheelchair_dept,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,insurancecard,医保卡号,yy_water,健康医疗数据规范-个人属性数据-个人身份信息-社保卡,
字段,,name,姓名,nw_nursing_serve_type,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,operatorname,操作人名称,r_user_agreement,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,r_online_med,监管平台网络诊疗服务表,,健康医疗数据规范-个人属性数据-个人通讯信息-个人电话号码;健康医疗数据规范-个人属性数据-人口统计信息-出生日期;健康医疗数据规范-个人属性数据-医护人员信息-医护姓名;健康医疗数据规范-个人属性数据-人口统计信息-性别;健康医疗数据规范-个人属性数据-个人身份信息-身份证;健康医疗数据规范-个人属性数据-人口统计信息-姓名,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息;健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据;健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
数据表,,svn_visit_temp_sub,,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,doctor_name,医生姓名,base_doctor,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,memberid,成员ID,svn_visit_plan_record,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
字段,,operatorname,操作人名称,health_education_article_disease,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,doctorsex,医生性别,b_doctor,健康医疗数据规范-个人属性数据-人口统计信息-性别,
字段,,operatorname,操作员名称,b_behos_triageflow,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,operatorname,操作人姓名,w_wheelchair_user_dept,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,deptcode,科室code,presc_order,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
数据表,,cons_visit_plan,,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,occupation,职业,b_member,健康医疗数据规范-个人属性数据-人口统计信息-职业,
字段,,memberid,就诊人ID,b_last_member,健康医疗数据规范-个人属性数据-个人身份信息-就诊卡号,
字段,,price,金额,ps_profit_share_bak,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,deptname,科室名称,b_doctor_member,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
数据表,,dict_external,,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
数据表,,tb_transaction_record,,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,pttel,患者联系电话,r_online_med,健康医疗数据规范-个人属性数据-个人通讯信息-个人电话号码,
字段,,operatorname,操作人姓名,sv_subject,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,sys_mch,,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名;健康医疗数据规范-个人属性数据-个人身份信息-银行卡号,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,operatorname,,pb_bill_check,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,operator_name,操作人名称,svn_sample_answer,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,operatorname,操作人名称,yy_rule,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,guardiansex,监护人性别,b_member,健康医疗数据规范-个人属性数据-人口统计信息-性别,
数据表,,b_cardbag,,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,magic_api_file_8000013,,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,operator_name,操作人名称,svn_control_rule,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
数据表,,sys_twofactors_login,,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名;健康医疗数据规范-个人属性数据-个人通讯信息-账号及关联信息,
字段,,operatorname,操作人姓名,sys_application_menu,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,transactions,支付金额（元）,p_bill,,健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,name,姓名,mc_mcopy_user,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
数据表,,dictionary,,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,memberid,患者ID,c_activity_member,健康医疗数据规范-个人属性数据-个人身份信息-患者ID,
数据表,,sv_collect_subject,满意度收藏表,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,guardiancertnum,监护人证件号码,o_order_member,健康医疗数据规范-个人属性数据-个人身份信息-身份证,
数据表,,p_channel_bank_check,,,,健康医疗数据规范-卫生资源数据-医院运营数据-财务数据;健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,deptid,科室id,pd_user_performance,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
字段,,deptname,咨询科室名称,cons_consult_water,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
数据表,,clinic_partition,,,,
字段,,mobile,,m_sms_record,健康医疗数据规范-个人属性数据-个人通讯信息-个人电话号码,
字段,,mobile,联系电话,base_doctor,健康医疗数据规范-个人属性数据-个人通讯信息-个人电话号码,
数据表,,r_dictionary,监管平台字典表,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
数据表,,qrtz_scheduler_state,,,,健康医疗数据规范-卫生资源数据-其他数据-运行支撑
字段,,deptname,,base_dept_ex,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
数据表,,b_communicate_water,,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
数据表,,p_druggist_manage,药商信息管理,,健康医疗数据规范-个人属性数据-个人通讯信息-个人电话号码;健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-供应商数据
数据表,,cons_end_apply,,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,operatorname,,sv_question,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,password,密码,sys_twofactors_login,健康医疗数据规范-个人属性数据-个人通讯信息-账号及关联信息,
字段,,email,邮箱,b_member,健康医疗数据规范-个人属性数据-个人通讯信息-邮箱,
字段,,receivercardno,收件人身份证号,net_logistics_water,健康医疗数据规范-个人属性数据-个人身份信息-身份证,
字段,,cardno,就诊卡号,b_behos_checkin,健康医疗数据规范-个人属性数据-个人身份信息-就诊卡号,
字段,,operatorid,,monitor_user,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,nickname,用户名,cons_consult_room_user,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
数据表,,o_order_warn,,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,deptid,部门IDS,qy_member_copy1,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
字段,,iddoctor,操作医师姓名,r_medical_appoint_water,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,
字段,,mobile,手机号码,qy_member,健康医疗数据规范-个人属性数据-个人通讯信息-个人电话号码,
数据表,,cons_visit_plan_sub,,,,健康医疗数据规范-卫生资源数据-医院运营数据-办公业务数据
字段,,patientname,患者姓名,q_queueinfo,健康医疗数据规范-个人属性数据-人口统计信息-姓名,
字段,,deptcode,入院科室代码,mc_mcopy_case,,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息
数据表,,mc_price_manage,,,健康医疗数据规范-个人属性数据-医护人员信息-医护姓名,健康医疗数据规范-卫生资源数据-医院运营数据-科室信息;健康医疗数据规范-卫生资源数据-医院运营数据-财务数据;健康医疗数据规范-医疗支付数据-医疗交易信息-交易金额
字段,,lczc,临床职称,base_doctor,健康医疗数据规范-个人属性数据-医护人员信息-医护职称,
